resource,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock
google_dataproc_metastore_service,2,0,0,2,33
google_dataproc_metastore_service_iam_binding,0,0,1,0,2
google_dataproc_metastore_service_iam_member,1,0,0,0,1
google_dataproc_metastore_service_iam_policy,1,0,0,0,0
google_dataproc_metastore_table_iam_binding,0,0,1,0,2
google_dataproc_metastore_table_iam_member,1,0,0,0,1
google_dataproc_metastore_table_iam_policy,1,0,0,0,0
google_dataproc_session_template,1,0,0,2,24
google_datastream_connection_profile,1,0,0,2,29
google_datastream_private_connection,0,0,0,2,8
google_datastream_stream,8,0,0,3,349
google_deployment_manager_deployment,0,0,0,2,6
google_developer_connect_account_connector,0,0,0,3,8
google_developer_connect_connection,0,0,0,3,37
