resource,score,nested_weight,non_nested_weight,tier,LikelyBreaking,provenance,product,is_iam,Representation,NullEmpty,Ordering,CustomizeDiff,NestedBlock,Required,Optional,Optional+Computed,Computed-only
google_chronicle_rule,15.25,12.00,3.25,B,true,Generated,chronicle,false,1,0,0,1,8,0,4,0,6
google_chronicle_rule_deployment,7.25,4.00,3.25,C,false,Generated,chronicle,false,1,0,0,1,2,0,2,0,2
google_chronicle_watchlist,10.25,8.00,2.25,B,true,Generated,chronicle,false,0,0,0,1,5,1,1,3,1
google_cloud_asset_folder_feed,0.00,0.00,0.00,A,true,Generated,cloudasset,false,0,0,0,0,6,3,3,0,0
google_cloud_asset_organization_feed,0.00,0.00,0.00,A,true,Generated,cloudasset,false,0,0,0,0,6,3,3,0,0
google_cloud_asset_project_feed,2.25,0.00,2.25,A,true,Generated,cloudasset,false,0,0,0,1,6,3,4,0,0
google_cloud_identity_group,2.00,2.00,0.00,D,true,Generated,cloudidentity,false,0,0,0,0,3,2,0,0,1
google_cloud_identity_group_membership,5.20,4.00,1.20,A,true,Generated,cloudidentity,false,1,0,0,0,5,2,2,2,0
google_cloud_ids_endpoint,2.25,0.00,2.25,C,true,Generated,cloudids,false,0,0,0,1,1,0,2,0,0
google_cloud_quotas_quota_adjuster_settings,0.00,0.00,0.00,D,false,Generated,cloudquotas,false,0,0,0,0,0,0,0,0,0
google_cloud_quotas_quota_preference,5.50,2.00,3.50,C,true,Generated,cloudquotas,false,3,0,0,0,4,3,2,2,0
google_cloud_run_domain_mapping,31.40,20.00,11.40,A,true,Generated,cloudrun,false,2,0,0,4,17,3,10,1,9
google_cloud_run_service,101.60,86.00,15.60,A,true,Generated,cloudrun,false,6,0,0,4,179,6,134,38,11
google_cloud_run_service_iam_binding,1.10,0.00,1.10,D,true,Generated,cloudrun,true,0,0,1,0,2,2,1,0,0
google_cloud_run_service_iam_member,1.20,0.00,1.20,D,true,Generated,cloudrun,true,1,0,0,0,1,1,1,0,0
google_cloud_run_service_iam_policy,1.20,0.00,1.20,D,false,Generated,cloudrun,true,1,0,0,0,0,1,0,0,0
google_cloud_run_v2_job,51.95,44.00,7.95,A,true,Generated,cloudrunv2,false,1,0,0,3,141,4,119,16,6
google_cloud_run_v2_job_iam_binding,1.10,0.00,1.10,D,true,Generated,cloudrunv2,true,0,0,1,0,2,2,1,0,0
google_cloud_run_v2_job_iam_member,1.20,0.00,1.20,D,true,Generated,cloudrunv2,true,1,0,0,0,1,1,1,0,0
google_cloud_run_v2_job_iam_policy,1.20,0.00,1.20,D,false,Generated,cloudrunv2,true,1,0,0,0,0,1,0,0,0
google_cloud_run_v2_service,63.95,52.00,11.95,A,true,Generated,cloudrunv2,false,1,0,4,3,147,2,127,16,10
google_cloud_run_v2_service_iam_binding,1.10,0.00,1.10,D,true,Generated,cloudrunv2,true,0,0,1,0,2,2,1,0,0
google_cloud_run_v2_service_iam_member,1.20,0.00,1.20,D,true,Generated,cloudrunv2,true,1,0,0,0,1,1,1,0,0
google_cloud_run_v2_service_iam_policy,1.20,0.00,1.20,D,false,Generated,cloudrunv2,true,1,0,0,0,0,1,0,0,0
google_cloud_run_v2_worker_pool,41.95,30.00,11.95,A,true,Generated,cloudrunv2,false,1,0,4,3,130,2,121,9,6
